"measuredItemCPC","measuredItemCPC_description","geographicAreaM49","geographicAreaM49_description","timePointYears","timePointYears_description","Value"
"01232","Cucumbers and gherkins","380","Italy","2017","2017",20368.57757454
"01232","Cucumbers and gherkins","380","Italy","2018","2018",20236.13917065
"01232","Cucumbers and gherkins","380","Italy","2019","2019",22671.658971
"01232","Cucumbers and gherkins","380","Italy","2020","2020",22705.32975165
"01233","Eggplants (aubergines)","380","Italy","2015","2015",85843.451485518
"01233","Eggplants (aubergines)","380","Italy","2016","2016",90820.210872165
"01233","Eggplants (aubergines)","380","Italy","2017","2017",81923.070262077
"01233","Eggplants (aubergines)","380","Italy","2018","2018",85308.11312019
"01233","Eggplants (aubergines)","380","Italy","2019","2019",85968.70693638
"01233","Eggplants (aubergines)","380","Italy","2020","2020",87132.61032681
"01234","Tomatoes","380","Italy","2015","2015",3052025.49108522
"01234","Tomatoes","380","Italy","2016","2016",3065034.42295244
"01234","Tomatoes","380","Italy","2017","2017",2864254.17905044
"01234","Tomatoes","380","Italy","2018","2018",2760571.2351987
"01234","Tomatoes","380","Italy","2019","2019",2750815.60756047
"01234","Tomatoes","380","Italy","2020","2020",2974733.21020857
"01235","Pumpkins, squash and gourds","380","Italy","2015","2015",166662.782920066
"01235","Pumpkins, squash and gourds","380","Italy","2016","2016",167037.889052508
"01235","Pumpkins, squash and gourds","380","Italy","2017","2017",169101.403277648
"01235","Pumpkins, squash and gourds","380","Italy","2018","2018",160767.56098702
"01235","Pumpkins, squash and gourds","380","Italy","2019","2019",163336.19135072
"01235","Pumpkins, squash and gourds","380","Italy","2020","2020",172322.09265658
"01241.90","Other beans, green","380","Italy","2015","2015",47073.222202236
"01241.90","Other beans, green","380","Italy","2016","2016",51580.397842144
"01241.90","Other beans, green","380","Italy","2017","2017",49016.128591572
"01241.90","Other beans, green","380","Italy","2018","2018",51855.15228104
"01241.90","Other beans, green","380","Italy","2019","2019",48870.20486308
"01241.90","Other beans, green","380","Italy","2020","2020",51348.69248584
"01242","Peas, green","380","Italy","2015","2015",45527.062858398
"01242","Peas, green","380","Italy","2016","2016",60382.992876822
"01242","Peas, green","380","Italy","2017","2017",52349.844961953
"01242","Peas, green","380","Italy","2018","2018",52577.16945723
"01242","Peas, green","380","Italy","2019","2019",48542.61675285
"01242","Peas, green","380","Italy","2020","2020",49005.79803009
"01243","Broad beans and horse beans, green","380","Italy","2015","2015",21594.574788501
"01243","Broad beans and horse beans, green","380","Italy","2016","2016",21559.765041276
"01243","Broad beans and horse beans, green","380","Italy","2017","2017",21026.943843752
"01243","Broad beans and horse beans, green","380","Italy","2018","2018",21595.96717839
"01243","Broad beans and horse beans, green","380","Italy","2019","2019",22208.61872955
"01243","Broad beans and horse beans, green","380","Italy","2020","2020",21647.02147432
"01251","Carrots and turnips","380","Italy","2015","2015",147295.089462298
"01251","Carrots and turnips","380","Italy","2016","2016",163223.91749754
"01251","Carrots and turnips","380","Italy","2017","2017",152993.195573319
"01251","Carrots and turnips","380","Italy","2018","2018",132346.85416518
"01251","Carrots and turnips","380","Italy","2019","2019",136039.27777886
"01251","Carrots and turnips","380","Italy","2020","2020",136440.02734771
"01252","Green garlic","380","Italy","2015","2015",19593.423650949
"01252","Green garlic","380","Italy","2016","2016",21359.670777984
"01252","Green garlic","380","Italy","2017","2017",21659.463235129
"01252","Green garlic","380","Italy","2018","2018",22032.9396215
"01252","Green garlic","380","Italy","2019","2019",21144.39812201
"01252","Green garlic","380","Italy","2020","2020",20205.28922011
"01253.01","Onions and shallots, green","380","Italy","2015","2015",NA
"01253.01","Onions and shallots, green","380","Italy","2016","2016",NA
"01253.01","Onions and shallots, green","380","Italy","2017","2017",NA
"01253.01","Onions and shallots, green","380","Italy","2018","2018",NA
"01253.01","Onions and shallots, green","380","Italy","2019","2019",NA
"01253.01","Onions and shallots, green","380","Italy","2020","2020",NA
"01253.02","Onions and shallots, dry (excluding dehydrated)","380","Italy","2015","2015",157543.311159
"01253.02","Onions and shallots, dry (excluding dehydrated)","4","Afghanistan","2015","2015",82395.19338123
"01253.02","Onions and shallots, dry (excluding dehydrated)","380","Italy","2016","2016",187671.43922085
"01253.02","Onions and shallots, dry (excluding dehydrated)","4","Afghanistan","2016","2016",58989.82945377
"01253.02","Onions and shallots, dry (excluding dehydrated)","380","Italy","2017","2017",170968.01689128
"01253.02","Onions and shallots, dry (excluding dehydrated)","4","Afghanistan","2017","2017",88287.55476
"01253.02","Onions and shallots, dry (excluding dehydrated)","380","Italy","2018","2018",154994.6326914
"01253.02","Onions and shallots, dry (excluding dehydrated)","4","Afghanistan","2018","2018",64240.44025761
"01253.02","Onions and shallots, dry (excluding dehydrated)","380","Italy","2019","2019",199025.9683743
"01253.02","Onions and shallots, dry (excluding dehydrated)","4","Afghanistan","2019","2019",146892.58373925
"01253.02","Onions and shallots, dry (excluding dehydrated)","380","Italy","2020","2020",190721.9408181
"01253.02","Onions and shallots, dry (excluding dehydrated)","4","Afghanistan","2020","2020",135765.43668438
"01254","Leeks and other alliaceous vegetables","380","Italy","2015","2015",8733.549167532
"01254","Leeks and other alliaceous vegetables","380","Italy","2016","2016",8857.556856774
"01254","Leeks and other alliaceous vegetables","380","Italy","2017","2017",8833.891267224
"01254","Leeks and other alliaceous vegetables","380","Italy","2018","2018",9731.29042296
"01254","Leeks and other alliaceous vegetables","380","Italy","2019","2019",12921.4118943
"01254","Leeks and other alliaceous vegetables","380","Italy","2020","2020",13707.10946736
"01270","Mushrooms and truffles","380","Italy","2015","2015",64365.742072536
"01270","Mushrooms and truffles","380","Italy","2016","2016",73972.343143748
"01270","Mushrooms and truffles","380","Italy","2017","2017",75266.496655932
"01270","Mushrooms and truffles","380","Italy","2018","2018",76469.75644318
"01270","Mushrooms and truffles","380","Italy","2019","2019",76675.34939244
"01270","Mushrooms and truffles","380","Italy","2020","2020",74889.93693834
"01290.90","Other vegetables, fresh n.e.","380","Italy","2015","2015",611226.66176091
"01290.90","Other vegetables, fresh n.e.","4","Afghanistan","2015","2015",240817.562168932
"01290.90","Other vegetables, fresh n.e.","380","Italy","2016","2016",601358.540851864
"01290.90","Other vegetables, fresh n.e.","4","Afghanistan","2016","2016",393596.821938754
"01290.90","Other vegetables, fresh n.e.","380","Italy","2017","2017",596771.024728268
"01290.90","Other vegetables, fresh n.e.","4","Afghanistan","2017","2017",211094.367266594
"01290.90","Other vegetables, fresh n.e.","380","Italy","2018","2018",0
"01290.90","Other vegetables, fresh n.e.","4","Afghanistan","2018","2018",217735.303377646
"01290.90","Other vegetables, fresh n.e.","380","Italy","2019","2019",0
"01290.90","Other vegetables, fresh n.e.","4","Afghanistan","2019","2019",311400.012192038
"01290.90","Other vegetables, fresh n.e.","380","Italy","2020","2020",0
"01290.90","Other vegetables, fresh n.e.","4","Afghanistan","2020","2020",444618.307602188
"01311","Avocados","380","Italy","2015","2015",NA
"01311","Avocados","380","Italy","2016","2016",NA
"01311","Avocados","380","Italy","2017","2017",NA
"01311","Avocados","380","Italy","2018","2018",0
"01311","Avocados","380","Italy","2019","2019",0
"01311","Avocados","380","Italy","2020","2020",0
"01312","Bananas","380","Italy","2015","2015",124.102570542
"01312","Bananas","380","Italy","2016","2016",122.68019151
"01312","Bananas","380","Italy","2017","2017",121.257812478
"01312","Bananas","380","Italy","2018","2018",0
"01312","Bananas","380","Italy","2019","2019",0
"01312","Bananas","380","Italy","2020","2020",0
"01315","Figs","380","Italy","2015","2015",9794.599724976
"01315","Figs","4","Afghanistan","2015","2015",3731.987509608
"01315","Figs","380","Italy","2016","2016",8438.803622106
"01315","Figs","4","Afghanistan","2016","2016",2347.805593014
"01315","Figs","380","Italy","2017","2017",8488.105298574
"01315","Figs","4","Afghanistan","2017","2017",5948.321965374
"01315","Figs","380","Italy","2018","2018",7955.4977937
"01315","Figs","4","Afghanistan","2018","2018",7082.260524138
"01315","Figs","380","Italy","2019","2019",8836.95200934
"01315","Figs","4","Afghanistan","2019","2019",18166.173788262
"01315","Figs","380","Italy","2020","2020",9098.40029364
"01315","Figs","4","Afghanistan","2020","2020",11947.439597412
"01316","Mangoes, guavas, mangosteens","380","Italy","2015","2015",NA
"01316","Mangoes, guavas, mangosteens","380","Italy","2016","2016",NA
"01316","Mangoes, guavas, mangosteens","380","Italy","2017","2017",NA
"01316","Mangoes, guavas, mangosteens","380","Italy","2018","2018",NA
"01316","Mangoes, guavas, mangosteens","380","Italy","2019","2019",NA
"01316","Mangoes, guavas, mangosteens","380","Italy","2020","2020",NA
"01319","Other tropical and subtropical fruits, n.e.","380","Italy","2015","2015",NA
"01319","Other tropical and subtropical fruits, n.e.","380","Italy","2016","2016",NA
"01319","Other tropical and subtropical fruits, n.e.","380","Italy","2017","2017",NA
"01319","Other tropical and subtropical fruits, n.e.","380","Italy","2018","2018",0
"01319","Other tropical and subtropical fruits, n.e.","380","Italy","2019","2019",0
"01319","Other tropical and subtropical fruits, n.e.","380","Italy","2020","2020",122698.87183744
"01321","Pomelos and grapefruits","380","Italy","2015","2015",2000.63366256
"01321","Pomelos and grapefruits","380","Italy","2016","2016",1959.491599338
"01321","Pomelos and grapefruits","380","Italy","2017","2017",1949.407760313
"01321","Pomelos and grapefruits","380","Italy","2018","2018",2081.30437476
"01321","Pomelos and grapefruits","380","Italy","2019","2019",2101.47205281
"01321","Pomelos and grapefruits","380","Italy","2020","2020",2202.31044306
"01322","Lemons and limes","380","Italy","2015","2015",224909.27279207
"01322","Lemons and limes","380","Italy","2016","2016",252143.771627262
"01322","Lemons and limes","380","Italy","2017","2017",242086.878816044
"01322","Lemons and limes","380","Italy","2018","2018",245866.68169886
"01322","Lemons and limes","380","Italy","2019","2019",258211.2585159
"01322","Lemons and limes","380","Italy","2020","2020",274035.70900416
"01323","Oranges","380","Italy","2015","2015",621550.529947212
"01323","Oranges","4","Afghanistan","2015","2015",1607.135105304
"01323","Oranges","380","Italy","2016","2016",518845.265808012
"01323","Oranges","4","Afghanistan","2016","2016",1723.282100328
"01323","Oranges","380","Italy","2017","2017",529082.840405928
"01323","Oranges","4","Afghanistan","2017","2017",1462.603872732
"01323","Oranges","380","Italy","2018","2018",519529.4238096
"01323","Oranges","4","Afghanistan","2018","2018",1827.0313824
"01323","Oranges","380","Italy","2019","2019",538390.26027684
"01323","Oranges","4","Afghanistan","2019","2019",1886.736157932
"01323","Oranges","380","Italy","2020","2020",578376.14710308
"01323","Oranges","4","Afghanistan","2020","2020",979.093067604
"01324","Tangerines, mandarins, clementines","380","Italy","2015","2015",368556.880897086
"01324","Tangerines, mandarins, clementines","380","Italy","2016","2016",312681.060495204
"01324","Tangerines, mandarins, clementines","380","Italy","2017","2017",334787.957349024
"01324","Tangerines, mandarins, clementines","380","Italy","2018","2018",203326.98503034
"01324","Tangerines, mandarins, clementines","380","Italy","2019","2019",342206.51746494
"01324","Tangerines, mandarins, clementines","380","Italy","2020","2020",295899.89569512
"01329","Other citrus fruit, n.e.","380","Italy","2015","2015",12760.914480464
"01329","Other citrus fruit, n.e.","4","Afghanistan","2015","2015",1291.159133616
"01329","Other citrus fruit, n.e.","380","Italy","2016","2016",15841.049099664
"01329","Other citrus fruit, n.e.","4","Afghanistan","2016","2016",6979.002318936
"01329","Other citrus fruit, n.e.","380","Italy","2017","2017",8262.2529988
"01329","Other citrus fruit, n.e.","4","Afghanistan","2017","2017",6690.9681086
"01329","Other citrus fruit, n.e.","380","Italy","2018","2018",0
"01329","Other citrus fruit, n.e.","4","Afghanistan","2018","2018",6747.575988088
"01329","Other citrus fruit, n.e.","380","Italy","2019","2019",12890.77961576
"01329","Other citrus fruit, n.e.","4","Afghanistan","2019","2019",13102.642929432
"01329","Other citrus fruit, n.e.","380","Italy","2020","2020",11766.94671416
